user_id,item_id,item_type,difficulty,nb_views,watch_percentage,rating,timestamp
1154,829,1,4,0.021302914,0.01,1,1538145495
1154,831,1,4,0.012369433,0.06,1,1538145505
1154,832,1,4,0.008383728,1.0,10,1538145735
1353,923,1,4,0.062671795,1.0,10,1538145861
1353,924,1,4,0.015255635,1.0,10,1538146197
1353,925,1,4,0.012919187,1.0,10,1538146586
1353,926,1,4,0.013194063,1.0,10,1538147077
1353,927,1,4,0.023227047,1.0,10,1538147443
1353,928,1,4,0.010857614,1.0,10,1538147654
1355,214,1,2,0.23708081,0.71,8,1538147726
1353,929,1,4,0.008796042,1.0,10,1538147827
1353,930,1,4,0.0104453,1.0,10,1538147943
1353,931,1,4,0.014431006,1.0,10,1538148095
1353,932,1,4,0.012094557,1.0,10,1538148319
1353,933,1,4,0.009483232,1.0,10,1538148415
1353,934,1,4,0.0079714125,1.0,10,1538148517
1353,935,1,4,0.010170423,1.0,10,1538148642
1353,936,1,4,0.010857614,1.0,10,1538148742
1353,937,1,4,0.010170423,1.0,10,1538148874
1353,938,1,4,0.008108851,1.0,10,1538149256
1353,939,1,4,0.011819681,1.0,10,1538149386
1353,940,1,4,0.0079714125,1.0,10,1538149513
1353,941,1,4,0.0103078615,1.0,10,1538149827
1353,942,1,4,0.014293568,1.0,10,1538149923
1353,943,1,4,0.0064595933,1.0,10,1538150093
1353,944,1,4,0.010582738,0.73,8,1538151456
968,263,1,2,0.15159428,1.0,10,1538151509
1353,945,1,4,0.0075590983,1.0,10,1538151516
1353,946,1,4,0.0063221552,1.0,10,1538151598
1353,947,1,4,0.019653656,1.0,10,1538151734
968,295,1,2,0.023776801,1.0,10,1538151742
968,579,1,3,0.008521166,1.0,10,1538151814
1358,505,1,2,0.025013743,0.63,7,1538152996
943,263,1,2,0.15159428,1.0,10,1538155230
1154,833,1,4,0.012919187,1.0,10,1538155467
1154,834,1,4,0.0060472786,1.0,10,1538155847
943,268,1,2,0.033260033,1.0,10,1538156402
943,269,1,3,0.030236393,0.32,4,1538156505
1154,835,1,4,0.008658604,1.0,10,1538156677
1154,836,1,4,0.0057724025,1.0,10,1538156967
881,607,1,4,0.047553603,0.21,3,1538159178
881,630,1,3,0.026388125,0.36,4,1538159309
951,63,1,2,1.0,1.0,10,1538163800
958,264,1,2,0.07366685,0.63,7,1538167669
958,589,1,2,0.0057724025,1.0,10,1538167814
958,579,1,3,0.008521166,1.0,10,1538168324
958,379,1,2,0.011957119,1.0,10,1538168412
958,299,1,2,0.034496978,1.0,10,1538168486
1074,237,1,2,0.26346895,0.18,2,1538190920
1360,70,1,2,0.044255085,0.57,6,1538208843
1362,157,1,3,0.10527763,1.0,10,1538233875
1362,158,1,1,0.05071468,1.0,10,1538234138
1362,159,1,1,0.070368335,0.2,2,1538234237
1225,299,1,2,0.034496978,0.61,7,1538236454
1225,301,1,1,0.014705882,0.65,7,1538236505
37,214,1,2,0.23708081,1.0,10,1538385396
37,215,1,4,0.08837273,1.0,10,1538385587
140,744,1,4,0.051539306,0.73,8,1538391807
140,746,1,3,0.017592084,1.0,10,1538392586
738,52,1,2,0.34840572,0.19,2,1538395954
1337,237,1,2,0.26346895,0.91,10,1538400962
838,52,1,2,0.34840572,1.0,10,1538409428
838,55,1,4,0.07517867,1.0,10,1538411735
959,168,1,2,0.08438703,1.0,10,1538413673
959,63,1,2,1.0,1.0,10,1538414593
1365,76,1,1,0.020203408,1.0,10,1538417329
1365,72,1,4,0.032847717,1.0,10,1538417421
1365,74,1,3,0.03697086,1.0,10,1538417569
759,858,1,2,0.09868059,0.04,1,1538422994
947,63,1,2,1.0,1.0,10,1538423190
956,263,1,2,0.15159428,1.0,10,1538424695
1367,237,1,2,0.26346895,0.98,10,1538430950
920,614,1,2,0.19997251,1.0,10,1538434423
1365,237,1,2,0.26346895,1.0,10,1538475745
1365,259,1,3,0.20148434,1.0,10,1538478435
1365,260,1,3,0.12383178,1.0,10,1538479211
1337,614,1,2,0.19997251,1.0,10,1538484727
1370,608,1,4,0.14307311,1.0,10,1538485436
1337,259,1,3,0.20148434,1.0,10,1538485440
1337,260,1,3,0.12383178,1.0,10,1538485599
1337,887,1,4,0.08754811,1.0,10,1538485998
1337,609,1,4,0.17509621,0.84,9,1538486115
1365,262,1,3,0.055525012,1.0,10,1538491014
1365,261,1,3,0.03930731,1.0,10,1538491266
1373,52,1,2,0.34840572,0.12,2,1538491991
1372,609,1,4,0.17509621,0.94,10,1538492029
1365,608,1,4,0.14307311,1.0,10,1538492769
1365,609,1,4,0.17509621,1.0,10,1538492852
1365,614,1,2,0.19997251,1.0,10,1538493089
1365,615,1,2,0.10514019,1.0,10,1538493351
1371,614,1,2,0.19997251,0.97,10,1538494146
194,64,1,2,0.4233095,0.64,7,1538495547
1371,615,1,2,0.10514019,0.99,10,1538495843
1371,616,1,4,0.07985157,1.0,10,1538496062
1371,617,1,4,0.052913688,0.27,3,1538496323
1116,583,1,2,0.007833974,1.0,10,1538496338
1371,618,1,4,0.062671795,1.0,10,1538496383
194,672,1,4,0.33947223,1.0,10,1538496398
194,673,1,4,0.2762507,1.0,10,1538496848
194,674,1,4,0.25219902,1.0,10,1538498238
1365,616,1,4,0.07985157,1.0,10,1538498240
1365,617,1,4,0.052913688,0.78,8,1538498501
1365,618,1,4,0.062671795,1.0,10,1538498727
1365,672,1,4,0.33947223,1.0,10,1538499204
1365,674,1,4,0.25219902,0.95,10,1538499411
1365,698,1,4,0.1884277,0.97,10,1538499733
1365,717,1,4,0.04741616,1.0,10,1538500002
1365,718,1,4,0.092083566,0.98,10,1538500128
1365,887,1,4,0.08754811,1.0,10,1538500580
1365,889,1,4,0.021440351,1.0,10,1538500677
1365,888,1,4,0.016630016,0.99,10,1538500856
1365,890,1,4,0.0417812,0.89,9,1538500896
1264,237,1,2,0.26346895,1.0,10,1538500935
1365,979,1,4,0.014293568,0.85,9,1538501129
1365,990,1,4,0.011269929,1.0,10,1538501266
1365,1009,1,4,0.012781749,0.96,10,1538501734
945,589,1,2,0.0057724025,0.92,10,1538520655
1312,214,1,2,0.23708081,0.07,1,1538559756
132,967,1,4,0.005360088,0.09,1,1538560481
11,916,1,3,0.12396921,1.0,10,1538560935
1127,887,1,4,0.08754811,1.0,10,1538566389
1127,888,1,4,0.016630016,0.71,8,1538566487
1127,889,1,4,0.021440351,1.0,10,1538566526
1127,890,1,4,0.0417812,1.0,10,1538566788
799,64,1,2,0.4233095,1.0,10,1538568334
1376,614,1,2,0.19997251,1.0,10,1538579135
1376,615,1,2,0.10514019,1.0,10,1538579439
1191,858,1,2,0.09868059,1.0,10,1538579648
1376,616,1,4,0.07985157,1.0,10,1538579682
1376,617,1,4,0.052913688,1.0,10,1538580104
1191,860,1,2,0.03642111,1.0,10,1538580396
1376,618,1,4,0.062671795,1.0,10,1538580724
684,615,1,2,0.10514019,0.4,4,1538582189
684,619,1,4,0.07325453,1.0,10,1538582357
684,616,1,4,0.07985157,0.43,5,1538582592
686,608,1,4,0.14307311,1.0,10,1538583675
686,52,1,2,0.34840572,0.1,1,1538584595
686,52,1,2,0.34840572,0.7,7,1538584595
686,53,1,2,0.116410114,0.99,10,1538584675
686,610,1,4,0.032847717,1.0,10,1538584905
686,61,1,3,0.06761957,1.0,10,1538585105
686,611,1,4,0.044392522,1.0,10,1538585335
686,612,1,4,0.0208906,0.25,3,1538585445
1067,614,1,2,0.19997251,0.37,4,1538587977
932,172,1,3,0.05662452,1.0,10,1538588016
1375,866,1,3,0.04411765,0.02,1,1538588217
1377,52,1,2,0.34840572,0.15,2,1538588487
431,238,1,4,0.14637163,0.28,3,1538591131
1378,157,1,3,0.10527763,1.0,10,1538600720
1378,158,1,1,0.05071468,1.0,10,1538601020
1378,159,1,1,0.070368335,0.95,10,1538601130
1378,160,1,1,0.040956568,1.0,10,1538601270
1378,161,1,3,0.048653107,1.0,10,1538601540
1379,857,1,2,0.054562945,0.67,7,1538610510
788,52,1,2,0.34840572,1.0,10,1538638529
788,53,1,2,0.116410114,1.0,10,1538638636
788,54,1,3,0.08562397,1.0,10,1538638764
788,55,1,4,0.07517867,1.0,10,1538638990
788,56,1,4,0.10761407,1.0,10,1538639082
788,63,1,2,1.0,1.0,10,1538639271
788,64,1,2,0.4233095,1.0,10,1538639357
788,65,1,2,0.38771302,0.86,9,1538639512
788,66,1,4,0.23941725,0.98,10,1538639859
788,67,1,3,0.19007696,0.92,10,1538639950
788,68,1,4,0.128917,1.0,10,1538640240
788,69,1,4,0.11833425,1.0,10,1538640381
788,212,1,2,0.066520065,1.0,10,1538640580
788,213,1,2,0.046041783,1.0,10,1538640731
788,259,1,3,0.20148434,1.0,10,1538640926
788,260,1,3,0.12383178,1.0,10,1538641056
788,261,1,3,0.03930731,1.0,10,1538641546
788,262,1,3,0.055525012,1.0,10,1538641883
840,64,1,2,0.4233095,1.0,10,1538649966
1369,608,1,4,0.14307311,0.02,1,1538651758
420,65,1,2,0.38771302,0.21,3,1538652756
1337,261,1,3,0.03930731,1.0,10,1538654823
1134,52,1,2,0.34840572,0.58,6,1538654834
1337,262,1,3,0.055525012,0.82,9,1538654928
1381,698,1,4,0.1884277,0.06,1,1538655055
129,252,1,3,0.08301265,1.0,10,1538661296
1048,923,1,4,0.062671795,0.75,8,1538662194
1048,924,1,4,0.015255635,1.0,10,1538662601
1048,925,1,4,0.012919187,1.0,10,1538662741
1048,926,1,4,0.013194063,0.95,10,1538662941
1048,927,1,4,0.023227047,1.0,10,1538663051
1048,928,1,4,0.010857614,1.0,10,1538663312
1048,929,1,4,0.008796042,1.0,10,1538663577
1048,930,1,4,0.0104453,1.0,10,1538664113
1048,931,1,4,0.014431006,1.0,10,1538664301
1048,932,1,4,0.012094557,1.0,10,1538664501
1048,933,1,4,0.009483232,0.94,10,1538665591
1048,933,1,4,0.009483232,0.06,1,1538665591
