user_id,item_id,item_type,difficulty,nb_views,watch_percentage,rating
8220,1973,3,4,0.026900906,0.99,10
1191,868,1,2,0.045566842,1.0,10
1758,608,1,4,0.14424925,1.0,10
4055,179,1,1,0.053252812,1.0,10
4934,1504,3,4,0.05188032,0.25,3
6785,1066,1,4,0.040900357,1.0,10
1062,185,1,4,0.021959923,1.0,10
8133,1887,1,4,0.37688717,1.0,10
8571,1855,1,1,0.03129289,1.0,10
1841,1178,1,4,0.04542959,1.0,10
6986,191,1,4,0.030881142,1.0,10
6766,913,1,4,0.009607466,0.97,10
9622,1410,2,4,0.06258578,1.0,10
718,811,1,2,0.004529234,1.0,10
3543,188,1,1,0.027312655,1.0,10
10251,840,1,4,0.007411474,1.0,10
3320,1189,1,4,0.0424101,1.0,10
5559,1399,1,4,0.14095525,1.0,10
8818,1689,1,4,0.024430415,1.0,10
9340,1619,1,4,0.0021959923,0.99,10
9125,1180,1,4,0.038429864,1.0,10
9026,1772,1,3,0.012764205,1.0,10
4030,1243,1,4,0.04899808,1.0,10
121,173,1,3,0.10183914,1.0,10
4055,1239,1,4,0.030743893,0.8,8
10024,1273,1,4,0.015646445,0.15,2
4049,1567,1,4,0.03390063,1.0,10
6793,27,2,2,0.059154544,0.87,9
3432,1946,1,2,0.124485314,0.99,10
6958,107,1,1,0.035135876,0.11,2
6714,215,1,4,0.089623936,1.0,10
2798,1330,1,4,0.22536372,1.0,10
2914,1338,1,4,0.010979962,1.0,10
6534,176,1,4,0.082486965,1.0,10
7187,1743,1,3,0.023469668,0.95,10
8455,65,1,2,0.38855338,1.0,10
433,635,1,4,0.030332144,1.0,10
7640,1819,1,2,0.016744442,0.96,10
7586,679,1,4,0.07658523,0.23,3
8925,604,3,4,0.103486136,1.0,10
8457,1884,3,4,0.082075216,0.29,3
10523,2044,1,4,0.00041174857,0.71,8
4180,1641,1,4,0.3029097,1.0,10
7842,63,1,2,1.0,1.0,10
3994,794,1,4,0.014548449,1.0,10
7962,1329,1,4,0.06601702,1.0,10
3221,1367,1,4,0.025253912,0.92,10
1832,229,1,3,0.027587153,1.0,10
5923,1864,1,2,0.0576448,1.0,10
2438,279,1,2,0.041586604,1.0,10
8553,864,1,3,0.061350536,1.0,10
1841,1229,1,4,0.05366456,1.0,10
4056,858,1,2,0.09991765,1.0,10
4081,1717,1,4,0.013450453,1.0,10
4729,678,1,4,0.09360417,1.0,10
