,model,hit@10,hit@20,hit@5,map@10,map@20,map@5,mrr@10,mrr@20,mrr@5,ndcg@10,ndcg@20,ndcg@5,precision@10,precision@20,precision@5,recall@10,recall@20,recall@5
0,EDuRec,0.5,1.0,0.3333333432674408,0.1388888955116272,0.1527777761220932,0.1388888955116272,0.1388888955116272,0.1527777761220932,0.1388888955116272,0.24785618484020233,0.37933042645454407,0.18848828971385956,0.03333333507180214,0.02500000037252903,0.06666667014360428,0.3333333432674408,0.5,0.3333333432674408
1,Random,0.1667,0.1667,0.1667,0.0417,0.0417,0.0417,0.0417,0.0417,0.0417,0.0718,0.0718,0.0718,0.0167,0.0083,0.0333,0.1667,0.1667,0.1667
2,Pop,0.1667,0.5,0.0,0.0238,0.0475,0.0,0.0238,0.0475,0.0,0.0556,0.1406,0.0,0.0167,0.025,0.0,0.1667,0.5,0.0
3,ItemKNN,0.3333,0.5,0.1667,0.0764,0.0868,0.0556,0.0764,0.0868,0.0556,0.1359,0.1767,0.0833,0.0333,0.025,0.0333,0.3333,0.5,0.1667
4,BPR,0.5,0.6667,0.5,0.5,0.5152,0.5,0.5,0.5152,0.5,0.5,0.5465,0.5,0.05,0.0333,0.1,0.5,0.6667,0.5
5,NeuMF,0.1667,0.3333,0.1667,0.0556,0.0707,0.0556,0.0556,0.0707,0.0556,0.0833,0.1298,0.0833,0.0167,0.0167,0.0333,0.1667,0.3333,0.1667
6,LightGCN,0.6667,0.8333,0.1667,0.2328,0.2467,0.1667,0.2328,0.2467,0.1667,0.3279,0.373,0.1667,0.0667,0.0417,0.0333,0.6667,0.8333,0.1667
7,NGCF,0.6667,0.8333,0.5,0.4375,0.4503,0.4167,0.4375,0.4503,0.4167,0.4911,0.5348,0.4385,0.0667,0.0417,0.1,0.6667,0.8333,0.5
8,MultiVAE,0.5,0.5,0.3333,0.2407,0.2407,0.2222,0.2407,0.2407,0.2222,0.3002,0.3002,0.25,0.05,0.025,0.0667,0.5,0.5,0.3333
9,RecVAE,0.8333,0.8333,0.5,0.537,0.537,0.5,0.537,0.537,0.5,0.6003,0.6003,0.5,0.0833,0.0417,0.1,0.8333,0.8333,0.5
10,EASE,0.3333,0.5,0.1667,0.1042,0.117,0.0833,0.1042,0.117,0.0833,0.1577,0.2015,0.1052,0.0333,0.025,0.0333,0.3333,0.5,0.1667
11,SLIMElastic,0.3333,0.5,0.1667,0.1905,0.2009,0.1667,0.1905,0.2009,0.1667,0.2222,0.263,0.1667,0.0333,0.025,0.0333,0.3333,0.5,0.1667
12,SimpleX,0.6667,0.6667,0.3333,0.3849,0.3849,0.3333,0.3849,0.3849,0.3333,0.4483,0.4483,0.3333,0.0667,0.0333,0.0667,0.6667,0.6667,0.3333
13,SGL,0.6667,0.8333,0.5,0.5278,0.5429,0.5,0.5278,0.5429,0.5,0.5594,0.6059,0.5,0.0667,0.0417,0.1,0.6667,0.8333,0.5
14,GRU4Rec,0.5763,0.779,0.369,0.225,0.2394,0.1973,0.225,0.2394,0.1973,0.3066,0.3582,0.2395,0.0576,0.039,0.0738,0.5763,0.779,0.369
15,NARM,0.5011,0.7221,0.3166,0.1806,0.196,0.1569,0.1806,0.196,0.1569,0.2548,0.3108,0.1961,0.0501,0.0361,0.0633,0.5011,0.7221,0.3166
16,SASRec,0.6082,0.8246,0.3485,0.2312,0.2468,0.1982,0.2312,0.2468,0.1982,0.3174,0.3729,0.2352,0.0608,0.0412,0.0697,0.6082,0.8246,0.3485
17,BERT4Rec,0.3166,0.5558,0.221,0.1268,0.1433,0.1147,0.1268,0.1433,0.1147,0.1713,0.2316,0.141,0.0317,0.0278,0.0442,0.3166,0.5558,0.221
18,CORE,0.3098,0.59,0.1162,0.061,0.0801,0.0369,0.061,0.0801,0.0369,0.1169,0.1872,0.056,0.031,0.0295,0.0232,0.3098,0.59,0.1162
19,LightSANs,0.574,0.8178,0.3918,0.2234,0.2408,0.199,0.2234,0.2408,0.199,0.3054,0.3676,0.2464,0.0574,0.0409,0.0784,0.574,0.8178,0.3918
